Unnamed: 0,prompt,response
1813,আপনি সেটা কিভাবে জানেন?,আমি অনেক পরেছি.
1814,আমি অনেক পরেছি.,আমি ভেবেছিলাম মাতালরা বেশিরভাগ দুর্ঘটনার কারণ হয়ে দাঁড়িয়েছে।
1815,চল একটা রাইডের জন্য যাই.,আমরা কোথায় যাচ্ছি?
1816,আমরা কোথায় যাচ্ছি?,পাহাড়ের মধ্যে।
1817,পাহাড়ের মধ্যে।,এটি ভালো মনে হচ্ছে.
1818,এটি ভালো মনে হচ্ছে.,আমি আপনাকে আমার নতুন গাড়ি দেখাতে চাই
1819,আমি আপনাকে আমার নতুন গাড়ি দেখাতে চাই,আপনি একটি নতুন গাড়ি কিনেছেন?
1820,আপনি একটি নতুন গাড়ি কিনেছেন?,হ্যাঁ.আমি একটি ক্যাডিল্যাক কিনেছি।
1821,হ্যাঁ.আমি একটি ক্যাডিল্যাক কিনেছি।,একটি বিলাসবহুল গাড়ি।
1822,একটি বিলাসবহুল গাড়ি।,luxury plus speed.
1823,বিলাসবহুল প্লাস গতি।,আমরা কিসের জন্য অপেক্ষা করছি?
1824,আমরা কিসের জন্য অপেক্ষা করছি?,আমাকে কীগুলি পেতে দিন।
1825,আমাকে কীগুলি পেতে দিন।,let me get my camera.
1826,আমাকে বাথরুম যেতে হবে.,আমরা চলে যাওয়ার আগে কেন যাননি?
1827,আমরা চলে যাওয়ার আগে কেন যাননি?,"আমি করেছি, তবে আমাকে আবার যেতে হবে।"
1828,"আমি করেছি, তবে আমাকে আবার যেতে হবে।","ঠিক আছে, আরও কিছুটা ধরে রাখুন।"
1829,"ঠিক আছে, আরও কিছুটা ধরে রাখুন।",আমি মনে করি আমি বিস্ফোরিত হতে যাচ্ছি।
1830,আমি মনে করি আমি বিস্ফোরিত হতে যাচ্ছি।,একটু অপেক্ষা কর.
1831,একটু অপেক্ষা কর.,উহু!আর কোনও ধাক্কা মারবেন না!
1832,উহু!আর কোনও ধাক্কা মারবেন না!,আমরা কয়েক মিনিটের মধ্যে ম্যাকডোনাল্ডে থাকব।
1833,আমরা কয়েক মিনিটের মধ্যে ম্যাকডোনাল্ডে থাকব।,i hope they are fast minutes.
1834,আমি আশা করি তারা দ্রুত মিনিট।,অন্য কিছু সম্পর্কে চিন্তা করুন।একটি হ্যামবার্গার সম্পর্কে চিন্তা করুন।
1835,অন্য কিছু সম্পর্কে চিন্তা করুন।একটি হ্যামবার্গার সম্পর্কে চিন্তা করুন।,"আমি ভাবছি, তবে আমাকে এখনও যেতে হবে।"
1836,"আমি ভাবছি, তবে আমাকে এখনও যেতে হবে।",এটি পরবর্তী প্রস্থান।অপেক্ষা কর!
1837,গাড়ি কোথায়?,আপনি কি বোঝাতে চেয়েছেন?
1838,আপনি কি বোঝাতে চেয়েছেন?,গাড়ি এখানে নেই।
1839,গাড়ি এখানে নেই।,আপনি কোথায় পার্ক করেছেন?
1840,আপনি কোথায় পার্ক করেছেন?,আমি ঠিক এখানে পার্ক করেছি।
1841,আমি ঠিক এখানে পার্ক করেছি।,তুমি কি নিশ্চিত?
1842,তুমি কি নিশ্চিত?,হ্যাঁ.
1843,হ্যাঁ.,সম্ভবত এটি ভুল গাছ।
1844,সম্ভবত এটি ভুল গাছ।,"না, এই গাছ।"
1845,"না, এই গাছ।",কেউ কি এটা চুরি করেছে?
1846,কেউ কি এটা চুরি করেছে?,আমি নিশ্চিত আশা করি না।
1847,আমি নিশ্চিত আশা করি না।,তারা এটি ছুঁড়ে ফেলেছে।
1848,এই ট্র্যাফিক দেখুন।,আমি বরং চাই না.
1849,আমি বরং চাই না.,এটি প্রতি বছর আরও খারাপ হয়।
1850,এটি প্রতি বছর আরও খারাপ হয়।,আপনি কেন অভিযোগ করছেন?আমরা এক ঘন্টা প্রায় 20 মাইল যাচ্ছি।
1851,আপনি কেন অভিযোগ করছেন?আমরা এক ঘন্টা প্রায় 20 মাইল যাচ্ছি।,গতির সীমা 65!
1852,গতির সীমা 65!,"ঠিক আছে, এটি 2:00 থেকে 4:00 এএম এর মধ্যে।"
1853,"ঠিক আছে, এটি 2:00 থেকে 4:00 এএম এর মধ্যে।",এই সমস্ত লোকেরা কোথায় যাচ্ছে?
1854,এই সমস্ত লোকেরা কোথায় যাচ্ছে?,তারা সবাই একই প্রশ্ন জিজ্ঞাসা করছে।
1855,তারা সবাই একই প্রশ্ন জিজ্ঞাসা করছে।,তারা কখন এই সমস্যাটি সমাধান করতে চলেছে?
1856,তারা কখন এই সমস্যাটি সমাধান করতে চলেছে?,তারা বলেছিল যে তাদের আরও অর্থের প্রয়োজন।
1857,তারা বলেছিল যে তাদের আরও অর্থের প্রয়োজন।,তাদের সর্বদা আরও বেশি অর্থের প্রয়োজন।
1858,তাদের সর্বদা আরও বেশি অর্থের প্রয়োজন।,এটি আরও ভাল হওয়ার আগে এটি আরও খারাপ হয়ে যাবে।
1859,আপনি কি সেই গাড়িটি দেখেছেন?,"হ্যাঁ, তিনি লাল আলো দিয়ে গেলেন।"
1860,"হ্যাঁ, তিনি লাল আলো দিয়ে গেলেন।",আমরা কি পুলিশকে ফোন করতে পারি?
1861,আমরা কি পুলিশকে ফোন করতে পারি?,"no, the police don't care."
1862,"না, পুলিশ যত্ন করে না।",কেন না?
1863,কেন না?,তাদের এটি দেখতে হবে।
1864,তাদের এটি দেখতে হবে।,তারা আমাদের বিশ্বাস করে না?
1865,তারা আমাদের বিশ্বাস করে না?,না।
1866,না।,তাই আমরা কি কাজ করতে পারি?
1867,তাই আমরা কি কাজ করতে পারি?,আমরা কিছু করি না।
1868,আমরা কিছু করি না।,সম্ভবত আমাদের পরের বার শিঙাটিকে সম্মান করা উচিত।
1869,সম্ভবত আমাদের পরের বার শিঙাটিকে সম্মান করা উচিত।,ড্রাইভার কেবল আমাদের দিকে ফিরে আসবে।
1870,আমার গাড়ি নোংরা।,তুমি এটা ধুয়ে না কেন?
1871,তুমি এটা ধুয়ে না কেন?,এটাই আমি করতে যাচ্ছি।
1872,এটাই আমি করতে যাচ্ছি।,আপনি নিজে ধুয়ে যাচ্ছেন?
1873,আপনি নিজে ধুয়ে যাচ্ছেন?,অবশ্যই.এটি কোনও কঠিন কাজ নয়।
1874,অবশ্যই.এটি কোনও কঠিন কাজ নয়।,আমি তোমাকে সাহায্য করব.
1875,আমি তোমাকে সাহায্য করব.,"ঠিক আছে, আমি একটি বালতি পাব।"
1876,"ঠিক আছে, আমি একটি বালতি পাব।",i'll rinse the car first.
1877,আমি প্রথমে গাড়িটি ধুয়ে ফেলব।,তারপরে আমরা এটি একটি ভেজা স্পঞ্জ এবং সাবান দিয়ে স্ক্রাব করতে পারি।
1878,তারপরে আমরা এটি একটি ভেজা স্পঞ্জ এবং সাবান দিয়ে স্ক্রাব করতে পারি।,"after that, we can dry it with a towel."
1879,"এর পরে, আমরা এটি একটি তোয়ালে দিয়ে শুকিয়ে নিতে পারি।",তাহলে এটি নতুনের মতো দেখাবে
1880,তাহলে এটি নতুনের মতো দেখাবে,এবং আপনি 10 ডলার সংরক্ষণ করুন।
1881,এটা নিশ্চিত যে আজ বাতাস।,কাগজ সর্বত্র উড়ছে।
1882,কাগজ সর্বত্র উড়ছে।,এই বাতাস চালকদের জন্য বিপজ্জনক।
1883,এই বাতাস চালকদের জন্য বিপজ্জনক।,বিশেষত বড় ট্রাক চালকদের জন্য।
1884,বিশেষত বড় ট্রাক চালকদের জন্য।,বাতাস সেই ট্রাকগুলিকে উড়িয়ে দেয়।
1885,বাতাস সেই ট্রাকগুলিকে উড়িয়ে দেয়।,এটি গাছও উড়িয়ে দেয়।
1886,এটি গাছও উড়িয়ে দেয়।,আমার বাবার গাড়িতে একটি গাছ পড়ল।
1887,আমার বাবার গাড়িতে একটি গাছ পড়ল।,অনেক ক্ষতি ছিল?
1888,অনেক ক্ষতি ছিল?,আমার বাবাকে একটি নতুন গাড়ি কিনতে হয়েছিল।
1889,আমার বাবাকে একটি নতুন গাড়ি কিনতে হয়েছিল।,কি দারুন!এটা ভয়ানক।
1890,কি দারুন!,আপনার গাড়িটি গাছের নীচে কখনও পার্ক করবেন না।
1891,আপনার গাড়িটি গাছের নীচে কখনও পার্ক করবেন না।,"বাতাস আপনাকে পাবে, বা পাখি আপনাকে পাবে।"
1892,আমরা কখন থামব?,আমরা পরবর্তী ম্যাকডোনাল্ডে থামব।
1893,আমরা পরবর্তী ম্যাকডোনাল্ডে থামব।,কত দূরে?
1894,এটা কত দূরে?,আমি মনে করি আমরা আধা ঘন্টার মধ্যে সেখানে থাকব।
1895,আমি মনে করি আমরা আধা ঘন্টার মধ্যে সেখানে থাকব।,আমিও তাই আশা করি. আমাকে বাথরুম যেতে হবে.
1896,আমিও তাই আশা করি. আমাকে বাথরুম যেতে হবে.,"ঠিক আছে, আমি সবসময় টানতে পারি।"
1897,"ঠিক আছে, আমি সবসময় টানতে পারি।","না, আপনাকে ধন্যবাদ, আমি শুধু অপেক্ষা করব।"
1898,"না, আপনাকে ধন্যবাদ, আমি শুধু অপেক্ষা করব।",আমরা একটি পাথর দিয়ে দুটি পাখি হত্যা করতে পারি।
1899,আমরা একটি পাথর দিয়ে দুটি পাখি হত্যা করতে পারি।,আপনি কি বোঝাতে চেয়েছেন?
1900,আপনি কি বোঝাতে চেয়েছেন?,"আপনি যখন বাথরুমটি ব্যবহার করছেন, আমি কিছু খাবার অর্ডার করব।"
1901,"আপনি যখন বাথরুমটি ব্যবহার করছেন, আমি কিছু খাবার অর্ডার করব।",আমার জন্য অর্ডার করবেন না।আমি ক্ষুধার্ত নই.
1902,আমি ক্ষুধার্ত নই.,"আমি খুব ক্ষুধার্তআমি আপনার জন্য অর্ডার করব, এবং তারপরে আমি আপনার খাবেন।"
1903,এটি এত দীর্ঘ আলো।,দেখুন কত গাড়ি লাইনে অপেক্ষা করছে।
1904,দেখুন কত গাড়ি লাইনে অপেক্ষা করছে।,তাদের একটি বাম-টার্ন তীর প্রয়োজন।
1905,তাদের একটি বাম-টার্ন তীর প্রয়োজন।,কেবল দুটি গাড়ি প্রতি তিন বা চার মিনিটে একটি বাম দিকে ঘুরতে পারে।
1906,কেবল দুটি গাড়ি প্রতি তিন বা চার মিনিটে একটি বাম দিকে ঘুরতে পারে।,আমরা এখানে চিরকাল থাকব।
1907,আমরা এখানে চিরকাল থাকব।,এই লেন থেকে বেরিয়ে আসুন।
1908,এই লেন থেকে বেরিয়ে আসুন।,তবে আমাদের বাম দিকে ঘুরতে হবে।
1909,তবে আমাদের বাম দিকে ঘুরতে হবে।,ভুলে যাও. সোজা যাও.
1910,ভুলে যাও. সোজা যাও.,তারপর কি?
1911,তারপর কি?,তারপরে আমরা কেবল একটি ইউ-টার্ন করব।
1912,তারপরে আমরা কেবল একটি ইউ-টার্ন করব।,এবং তারপরে আমরা ডানদিকে ডানদিকে ঘুরতে পারি।
1913,এবং তারপরে আমরা ডানদিকে ডানদিকে ঘুরতে পারি।,ভাল ধারণা.
1914,আমার একটা সস্তা গাড়ি দরকার,তোমার কত টাকা আছে?
1915,তোমার কত টাকা আছে?,$ 1000।
1916,$ 1000।,"ঠিক আছে, এটি আপনাকে কিছু পাওয়া উচিত।"
1917,"ঠিক আছে, এটি আপনাকে কিছু পাওয়া উচিত।",তবে আমার এমন কিছু দরকার যা নির্ভরযোগ্য।
1918,তবে আমার এমন কিছু দরকার যা নির্ভরযোগ্য।,আপনার কম মাইলেজ সহ একটি গাড়ি দরকার।
1919,আপনার কম মাইলেজ সহ একটি গাড়ি দরকার।,একটি গাড়ি যা একটি ছোট বৃদ্ধ মহিলার মালিকানাধীন ছিল।
1920,একটি গাড়ি যা একটি ছোট বৃদ্ধ মহিলার মালিকানাধীন ছিল।,আপনি কোথায় দেখেছেন?
1921,আপনি কোথায় দেখেছেন?,আমি এখনও কোথাও তাকাতে পারি নি।
1922,আমি এখনও কোথাও তাকাতে পারি নি।,কেন না?
1923,কেন না?,কারণ আমি এত কম দামের জন্য কখনই একটি খুঁজে পাব না।
1924,কারণ আমি এত কম দামের জন্য কখনই একটি খুঁজে পাব না।,আপনি ঠিক বলেছেন।আপনার অর্থ সাশ্রয় করুন।
1925,"শুভ বিকাল, অফিসার।","আপনার ড্রাইভারের লাইসেন্স এবং নিবন্ধকরণ, দয়া করে।"
1926,"আপনার ড্রাইভারের লাইসেন্স এবং নিবন্ধকরণ, দয়া করে।",আপনি এখানে যান।
1927,আপনি এখানে যান।,তুমি কি জানো কেন আমি তোমাকে টানলাম?
1928,তুমি কি জানো কেন আমি তোমাকে টানলাম?,আমার কোন ধারণা নাই.হঠাৎ করে শুনলাম তোমার সাইরেন।
1929,আমার কোন ধারণা নাই.হঠাৎ করে শুনলাম তোমার সাইরেন।,আপনি সেই স্টপ সাইন দিয়ে সেখানে ফিরে এসেছেন।
1930,আপনি সেই স্টপ সাইন দিয়ে সেখানে ফিরে এসেছেন।,তবে আমি থামলাম!
1931,তবে আমি থামলাম!,"না, আপনি করেন নি।আপনি ধীর হয়ে গেছেন, কিন্তু আপনি পুরো স্টপে আসেননি।"
1932,"না, আপনি করেন নি।আপনি ধীর হয়ে গেছেন, কিন্তু আপনি পুরো স্টপে আসেননি।","আচ্ছা, অন্য কেউ করে না, তবে আমি কেন করব?"
1933,"আচ্ছা, অন্য কেউ করে না, তবে আমি কেন করব?",that's not the attitude of a good driver.
1934,এটি কোনও ভাল ড্রাইভারের মনোভাব নয়।,তবে আমি একজন ভাল চালক।আমার জীবনে কখনও টিকিট ছিল না।
1935,তবে আমি একজন ভাল চালক।আমার জীবনে কখনও টিকিট ছিল না।,"ঠিক আছে, আপনি এখন একটি পেয়েছেন।এখানে.আপনার দিনটি শুভ হোক."
1936,আমি এটা বিশ্বাস করতে পারি না।,আপনি কি বিষয়ে কথা হয়?
1937,আপনি কি বিষয়ে কথা হয়?,আমি 140 ডলারে টিকিট ডাউনটাউন পেয়েছি।
1938,আমি 140 ডলারে টিকিট ডাউনটাউন পেয়েছি।,আপনি কি গতি বাড়িয়েছিলেন?
1939,আপনি কি গতি বাড়িয়েছিলেন?,"না, আমি রাস্তায় পার হয়ে যাচ্ছিলাম।"
1940,"না, আমি রাস্তায় পার হয়ে যাচ্ছিলাম।",were you jaywalking?
1941,তুমি কি জয়ওয়াকিং করছিল?,"না, আমি ক্রসওয়াকে ছিলাম।"
1942,"না, আমি ক্রসওয়াকে ছিলাম।",তাহলে কেন আপনি টিকিট পেয়েছেন?
1943,তাহলে কেন আপনি টিকিট পেয়েছেন?,"অফিসার জানান, লাল হাতটি জ্বলজ্বল করছে।"
1944,"অফিসার জানান, লাল হাতটি জ্বলজ্বল করছে।",আপনি ক্রসওয়াক প্রবেশ করলে কি জ্বলজ্বল করছিল?
1945,আপনি ক্রসওয়াক প্রবেশ করলে কি জ্বলজ্বল করছিল?,"না, সাদা হাঁটার চিহ্নটি জ্বলজ্বল করছিল।"
1946,"না, সাদা হাঁটার চিহ্নটি জ্বলজ্বল করছিল।",আপনার সেই টিকিটের সাথে লড়াই করা উচিত।আমি তোমার সাক্ষী হব।
1947,তারা সকাল 3 টায় স্কুলের কাছে একটি ক্রসওয়াকে ছিল।,WHO?
1948,WHO?,ইউএসসি থেকে দুই শিক্ষার্থী।
1949,ইউএসসি থেকে দুই শিক্ষার্থী।,কি হলো?
1950,কি হলো?,"একটি দ্রুতগতির গাড়ি একটি লাল আলো চালিয়েছিল, মেয়েটিকে হত্যা করেছিল।"
1951,"একটি দ্রুতগতির গাড়ি একটি লাল আলো চালিয়েছিল, মেয়েটিকে হত্যা করেছিল।",অন্য শিক্ষার্থীর কী হয়েছে?
1952,অন্য শিক্ষার্থীর কী হয়েছে?,সে গাড়ির ফণায় নামল।
1953,সে গাড়ির ফণায় নামল।,সে কি ফণা থেকে নামল?
1954,সে কি ফণা থেকে নামল?,"না, গাড়িটি থামল এবং যাত্রী আহত ছাত্রটিকে ফণা থেকে ঠেলে দেয়।"
1955,"না, গাড়িটি থামল এবং যাত্রী আহত ছাত্রটিকে ফণা থেকে ঠেলে দেয়।",আমি বাজি ধরব গাড়িটি তার পথে চলতে থাকবে।
1956,আমি বাজি ধরব গাড়িটি তার পথে চলতে থাকবে।,অবশ্যই এটি করেছে।আপনি দু'জনের উপরে দৌড়ানোর পরে কেন থামবেন?
1957,অবশ্যই এটি করেছে।আপনি দু'জনের উপরে দৌড়ানোর পরে কেন থামবেন?,আমি আশা করি তারা তাদের খুঁজে পেয়েছে এবং তাদের জীবনের জন্য কারাগারে রেখেছিল।
1958,আপনার গাড়ীর কি হয়েছে?,আমি পার্কিংয়ে একটি ডেন্ট পেয়েছি।
1959,আমি পার্কিংয়ে একটি ডেন্ট পেয়েছি।,আপনি কিভাবে এটা পেলেন?
1960,আপনি কিভাবে এটা পেলেন?,আমি জানি না।
1961,আমি জানি না।,those shopping carts are dangerous.
1962,এই শপিং কার্টগুলি বিপজ্জনক।,especially the metal ones.
1963,especially the metal ones.,আমি এমন কোনও দোকানে পার্ক করি না যা ধাতব শপিং কার্ট ব্যবহার করে।
1964,আমি এমন কোনও দোকানে পার্ক করি না যা ধাতব শপিং কার্ট ব্যবহার করে।,"এটি একটি ভাল ধারণা, তবে এই দোকানে একটি ভাল বিক্রয় ছিল।"
1965,"এটি একটি ভাল ধারণা, তবে এই দোকানে একটি ভাল বিক্রয় ছিল।",আপনি কি কোনও অর্থ বিক্রিতে সংরক্ষণ করেছেন?
1966,আপনি কি কোনও অর্থ বিক্রিতে সংরক্ষণ করেছেন?,"হ্যা, আমি করেছিলাম.আমি প্রায় 50 ডলার সঞ্চয় করেছি।"
1967,"হ্যা, আমি করেছিলাম.আমি প্রায় 50 ডলার সঞ্চয় করেছি।",দারুণ.
1968,দারুণ.,"হ্যাঁ, এই ডেন্ট ব্যতীত প্রায় 150 ডলার ব্যয় হবে।"
1969,"আপনি কি ""টাইটানিক"" দেখেছেন?",হ্যাঁ. এটি একটি মহান সিনেমা.
1970,হ্যাঁ. এটি একটি মহান সিনেমা.,আমি এটি বারো বার দেখেছি।
1971,আমি এটি বারো বার দেখেছি।,আমি এটি আটবার দেখেছি।
1972,আমি এটি আটবার দেখেছি।,আমার ডিভিডি আছে
1973,আমার ডিভিডি আছে,আমিও.
1974,আমিও.,আসুন আপনার বাড়িতে যাই।
1975,আসুন আপনার বাড়িতে যাই।,আমরা আমার ডিভিডি দেখতে পারি।
1976,আমরা আমার ডিভিডি দেখতে পারি।,এবং তারপরে আমরা আমার বাড়িতে যেতে পারি।
1977,এবং তারপরে আমরা আমার বাড়িতে যেতে পারি।,এবং আপনার ডিভিডি দেখুন।
1978,এবং আপনার ডিভিডি দেখুন।,আমি সবসময় শেষে কাঁদতাম।
1979,আমি সবসময় শেষে কাঁদতাম।,আমিও.
1980,এর কার্ড খেলা যাক.,আমি কোনও কার্ড গেম জানি না।
1981,আমি কোনও কার্ড গেম জানি না।,আমি আপনাকে একটি শিখিয়ে দেব।
1982,আমি আপনাকে একটি শিখিয়ে দেব।,ঠিক আছে.তুমি আমাকে কী শিক্ষা দেবে?
1983,ঠিক আছে.তুমি আমাকে কী শিক্ষা দেবে?,একে পোকার বলা হয়।
1984,একে পোকার বলা হয়।,এটা কি শেখা সহজ?
1985,এটা কি শেখা সহজ?,"হ্যাঁ, এটি প্রায় 30 মিনিট সময় নেবে।"
1986,"হ্যাঁ, এটি প্রায় 30 মিনিট সময় নেবে।",ঠিক আছে.আমাকে কীভাবে খেলতে শিখুন।
1987,ঠিক আছে.আমাকে কীভাবে খেলতে শিখুন।,আমরা প্রত্যেকে পাঁচটি কার্ড পাই।
1988,আমরা প্রত্যেকে পাঁচটি কার্ড পাই।,ওহ দেখ.আমার চার দশক আছে
1989,ওহ দেখ.আমার চার দশক আছে,"এটি দুর্দান্ত, তবে আপনি আমাকে বলার কথা নয়।"
1990,"এটি দুর্দান্ত, তবে আপনি আমাকে বলার কথা নয়।","উহু.দুঃখিতঠিক আছে, আমার চার দশক নেই।"
1991,আমি একজন ভাল কার্ড প্লেয়ার।,এটা কেন?
1992,এটা কেন?,কারণ আমি অন্যান্য খেলোয়াড়দের দেখি।
1993,কারণ আমি অন্যান্য খেলোয়াড়দের দেখি।,আপনি কি বোঝাতে চেয়েছেন?
1994,আপনি কি বোঝাতে চেয়েছেন?,লোকেরা আপনাকে বলবে যদি তাদের হাত ভাল থাকে।
1995,লোকেরা আপনাকে বলবে যদি তাদের হাত ভাল থাকে।,তারা কিভাবে সেটি করে?
1996,তারা কিভাবে সেটি করে?,"উদাহরণস্বরূপ, আমার এক বন্ধু তার ঠোঁট চাটেছে।"
1997,"উদাহরণস্বরূপ, আমার এক বন্ধু তার ঠোঁট চাটেছে।","যখন সে তার ঠোঁট চাটছে, আপনি জানেন যে তার হাত ভাল আছে?"
1998,"যখন সে তার ঠোঁট চাটছে, আপনি জানেন যে তার হাত ভাল আছে?","আমি জানি তার হাত ভাল আছে, তাই আমি বাজি রাখি না।"
1999,"আমি জানি তার হাত ভাল আছে, তাই আমি বাজি রাখি না।",সে কখনই তোমার টাকা জিতবে না?
2000,সে কখনই তোমার টাকা জিতবে না?,"না, এবং এটি তাকে পাগল করে তোলে।"
2001,"না, এবং এটি তাকে পাগল করে তোলে।",তিনি জানেন যে আপনি তার মন পড়তে পারবেন না।হয়তো সে মনে করে আপনি প্রতারণা করছেন।
2002,দয়া করে রেডিওটি নামিয়ে দিন।,তবে আমি এটি শুনছি।
2003,তবে আমি এটি শুনছি।,"ঠিক আছে, আরও নিঃশব্দে শুনুন।"
2004,"ঠিক আছে, আরও নিঃশব্দে শুনুন।",আমি বড় না হওয়া পর্যন্ত অপেক্ষা করতে পারি না।
2005,আমি বড় না হওয়া পর্যন্ত অপেক্ষা করতে পারি না।,তুমি কি করবে?
2006,তুমি কি করবে?,আমি যতটা উচ্চস্বরে রেডিও খেলব।
2007,আমি যতটা উচ্চস্বরে রেডিও খেলব।,আমার সাথে ঠিক আছে।
2008,আমার সাথে ঠিক আছে।,আমার বাড়ির প্রতিটি ঘরে আমার একটি রেডিও থাকবে।
2009,আমার বাড়ির প্রতিটি ঘরে আমার একটি রেডিও থাকবে।,আমাকে কখনও দেখার জন্য আমাকে মনে করিয়ে দিন।
2010,আমাকে কখনও দেখার জন্য আমাকে মনে করিয়ে দিন।,সমস্ত রেডিও অতিরিক্ত জোরে হবে।
2011,সমস্ত রেডিও অতিরিক্ত জোরে হবে।,আপনার প্রতিবেশীরা আপনাকে ঘৃণা করবে।
2012,আপনার প্রতিবেশীরা আপনাকে ঘৃণা করবে।,যদি তারা এটি পছন্দ না করে তবে তারা সরে যেতে পারে।
2013,আমি আশা করি আমি লোটো জিতেছি।,আপনার সম্ভাবনা খুব ছোট।
2014,আপনার সম্ভাবনা খুব ছোট।,আপনি খেলেন না যদি আপনি জিততে পারবেন না।
2015,আপনি খেলেন না যদি আপনি জিততে পারবেন না।,হা!খেললে আপনি জিততে পারবেন না।
2016,হা!আপনি খেললে আপনি জিততে পারবেন না।,কাউকে জিততে হবে।
2017,কাউকে জিততে হবে।,সবাই এটাই বলে।
2018,সবাই এটাই বলে।,এটা পাশাপাশি আমারও হতে পারে।
2019,এটা পাশাপাশি আমারও হতে পারে।,সবাই এটাই বলে।
2020,সবাই এটাই বলে।,আপনি আমাকে কিছু বলার চেষ্টা করছেন।
2021,আপনি আমাকে কিছু বলার চেষ্টা করছেন।,এটি বেশি সময় নেয় নি।
2022,এটি বেশি সময় নেয় নি।,আপনি মনে করেন আমার খেলা ছেড়ে দেওয়া উচিত।
2023,আপনি মনে করেন আমার খেলা ছেড়ে দেওয়া উচিত।,স্কুলের জন্য আপনার অর্থ সংরক্ষণ করুন।
2024,টিভিতে কি আছে?,বেশি কিছু না.
2025,বেশি কিছু না.,বেসবল খেলা সম্পর্কে কি?
2026,বেসবল খেলা সম্পর্কে কি?,বৃষ্টি হয়েছে।
2027,বৃষ্টি হয়েছে।,বৃষ্টি?
2028,বৃষ্টি?,"হ্যাঁ, বৃষ্টি হয়েছে।"
2029,"হ্যাঁ, বৃষ্টি হয়েছে।",এটা কিভাবে হতে পারে?
2030,এটা কিভাবে হতে পারে?,"ঠিক আছে, আপনি একটি বৃষ্টিপাতের মধ্যে বেসবল খেলতে পারবেন না।"
2031,"ঠিক আছে, আপনি একটি বৃষ্টিপাতের মধ্যে বেসবল খেলতে পারবেন না।",আমি ভেবেছিলাম তারা একটি গম্বুজের নিচে খেলছে।
2032,আমি ভেবেছিলাম তারা একটি গম্বুজের নিচে খেলছে।,গম্বুজটি বন্ধ হয় না।
2033,গম্বুজটি বন্ধ হয় না।,কেন এটি বন্ধ হয় না?
2034,কেন এটি বন্ধ হয় না?,কে জানে?তারা বলেছিল যে তারা পরের মরসুমের আগে এটি ঠিক করবে।
2035,আমি কি আপনার কফি চেষ্টা করতে পারি?,নিশ্চিত।আপনি এখানে যান।
2036,নিশ্চিত।আপনি এখানে যান।,"হুম, এটা খারাপ নয়।"
2037,"হুম, এটা খারাপ নয়।",এতে কিছুই নেই।
2038,এতে কিছুই নেই।,আপনি কি বোঝাতে চেয়েছেন?
2039,আপনি কি বোঝাতে চেয়েছেন?,"মানে, এটি কেবল কফি।"
2040,"মানে, এটি কেবল কফি।",আমি প্রকাশিত করেছি.
2041,আমি প্রকাশিত করেছি.,এটা আপনার পক্ষে খুব তিক্ত নয়?
2042,এটা আপনার পক্ষে খুব তিক্ত নয়?,"এটি কিছুটা তিক্ত, তবে ঠিক আছে।"
2043,"এটি কিছুটা তিক্ত, তবে ঠিক আছে।",এতে কোনও চিনি বা ক্রিম নেই।
2044,এতে কোনও চিনি বা ক্রিম নেই।,"না, এটি এমন একটি স্বাদ যা আপনাকে অভ্যস্ত হতে হবে।"
2045,"না, এটি আপনার অভ্যস্ত হতে হবে এমন একটি স্বাদ।",বিয়ারের মতো বাছাই করুন।
2046,চলো হাটা যাক.,আবহাওয়া কেমন?
2047,আবহাওয়া কেমন?,আমাকে বাইরে পা রেখে দেখতে দিন।
2048,আমাকে বাইরে পা রেখে দেখতে দিন।,"এটা একটু মরিচ, তাই না?"
2049,"এটা একটু মরিচ, তাই না?","হ্যাঁ, এটা।"
2050,"হ্যাঁ, এটা।",আমি আমার ক্যাপ লাগিয়ে দেব।
2051,আমি আমার ক্যাপ লাগিয়ে দেব।,একটি জ্যাকেটও পরুন।
2052,একটি জ্যাকেটও পরুন।,আমি ভাবছি আমার গ্লাভস আনতে হবে কিনা।
2053,আমি ভাবছি আমার গ্লাভস আনতে হবে কিনা।,"সম্ভবত আপনার উচিত, যদি এটি আরও শীতল হয়ে যায়।"
2054,"সম্ভবত আপনার উচিত, যদি এটি আরও শীতল হয়ে যায়।",আমি প্রতিটি পকেটে একটি গ্লাভ রাখব।
2055,আমি প্রতিটি পকেটে একটি গ্লাভ রাখব।,আমরা হাঁটতে হাঁটতে উষ্ণ হয়ে যাব।
2056,আমরা হাঁটতে হাঁটতে উষ্ণ হয়ে যাব।,"হ্যাঁ, তবে সূর্য ডুবে যাওয়ার সাথে সাথে এটি শীতল হয়ে যায়।"
2057,টিভিতে গাড়ির তাড়া দেখুন!,ড্রাইভারটি পাগল।
2058,ড্রাইভারটি পাগল।,আমি বিশ্বাস করতে পারি না যে সে বিধ্বস্ত হয়নি।
2059,আমি বিশ্বাস করতে পারি না যে সে বিধ্বস্ত হয়নি।,তিনি কত দ্রুত যাচ্ছেন?
2060,তিনি কত দ্রুত যাচ্ছেন?,তারা বলে যে তিনি প্রতি ঘন্টা 80 মাইল যাচ্ছেন।
2061,তারা বলে যে তিনি প্রতি ঘন্টা 80 মাইল যাচ্ছেন।,সে কাউকে হত্যা করবে।
2062,সে কাউকে হত্যা করবে।,দেখ!সে কেবল সেই গাড়িতে আঘাত করেছে।
